Household Income_2014,Population_2014,Median Contract Rent_2014,Median Gross Rent_2014,Median Home Value_2014,Median Monthly Owner Costs_2014,state,Zipcode,Household Income_2019,Population_2019,Median Contract Rent_2019,Median Gross Rent_2019,Median Home Value_2019,Median Monthly Owner Costs_2019,MA,MANAME,2009 H%,2010 H%,2011 H%,2012 H%,2013 H%,2014 H%,2015 H%,2016 H%,2017 H%,2018 H%,2019 H%,2020 H%,Average H%_2014,Average H%_2019,Weighted Cost_2014,Weighted Cost_2019,Affordability_2014,Affordability_2019
67126.0,11219.0,704.0,825.0,237200.0,1681.0,25,1540,77184.0,11581.0,776.0,892.0,263800.0,1787.0,49340.0,Worcester MA-CT,64.2,65.5,64.9,63.4,62.7,65.9,64.4,64.1,65.8,61.9,63.3,62.5,64.47999999999999,63.9,1376.9487999999997,1463.905,0.2461547775824568,0.22759717039800995
114688.0,3432.0,841.0,1112.0,358600.0,2385.0,25,1541,136083.0,3455.0,911.0,1028.0,373600.0,2322.0,49340.0,Worcester MA-CT,64.2,65.5,64.9,63.4,62.7,65.9,64.4,64.1,65.8,61.9,63.3,62.5,64.47999999999999,63.9,1932.8304,1854.8659999999998,0.20223532366071428,0.16356482440863293
76979.0,1747.0,783.0,1000.0,249200.0,1645.0,25,1542,106250.0,2567.0,862.0,981.0,275300.0,1861.0,49340.0,Worcester MA-CT,64.2,65.5,64.9,63.4,62.7,65.9,64.4,64.1,65.8,61.9,63.3,62.5,64.47999999999999,63.9,1415.8959999999997,1543.3199999999997,0.2207193130594058,0.1743043764705882
91033.0,8188.0,802.0,858.0,268200.0,2093.0,25,1543,107928.0,8685.0,850.0,1044.0,295500.0,2135.0,49340.0,Worcester MA-CT,64.2,65.5,64.9,63.4,62.7,65.9,64.4,64.1,65.8,61.9,63.3,62.5,64.47999999999999,63.9,1654.328,1741.1490000000001,0.21807406105478233,0.1935900600400267
97617.0,35818.0,1098.0,1232.0,368400.0,2222.0,25,1545,105014.0,37086.0,1296.0,1375.0,416000.0,2284.0,49340.0,Worcester MA-CT,64.2,65.5,64.9,63.4,62.7,65.9,64.4,64.1,65.8,61.9,63.3,62.5,64.47999999999999,63.9,1870.3519999999999,1955.851,0.22992126371431204,0.2234960291008818
42376.0,16775.0,716.0,839.0,191900.0,1631.0,25,1550,51270.0,16887.0,760.0,895.0,198400.0,1716.0,49340.0,Worcester MA-CT,64.2,65.5,64.9,63.4,62.7,65.9,64.4,64.1,65.8,61.9,63.3,62.5,64.47999999999999,63.9,1349.6816,1419.619,0.38220169907494805,0.3322689291983616
78250.0,4565.0,876.0,999.0,359100.0,2494.0,25,1560,88750.0,4396.0,1027.0,1138.0,363200.0,2215.0,49340.0,Worcester MA-CT,64.2,65.5,64.9,63.4,62.7,65.9,64.4,64.1,65.8,61.9,63.3,62.5,64.47999999999999,63.9,1962.9759999999997,1826.203,0.30103146325878594,0.24692322253521126
60943.0,11746.0,706.0,810.0,251300.0,1678.0,25,1562,72821.0,11928.0,735.0,890.0,255900.0,1876.0,49340.0,Worcester MA-CT,64.2,65.5,64.9,63.4,62.7,65.9,64.4,64.1,65.8,61.9,63.3,62.5,64.47999999999999,63.9,1369.6863999999998,1520.0539999999999,0.2696985182875802,0.2504860960437236
90455.0,7870.0,1033.0,1131.0,324900.0,2161.0,25,1564,121458.0,8091.0,1090.0,1304.0,360000.0,1997.0,49340.0,Worcester MA-CT,64.2,65.5,64.9,63.4,62.7,65.9,64.4,64.1,65.8,61.9,63.3,62.5,64.47999999999999,63.9,1795.1439999999998,1746.827,0.2381485600574871,0.17258578273971248
93776.0,6945.0,918.0,1063.0,288800.0,2279.0,25,1566,86731.0,5592.0,1036.0,1407.0,268300.0,2072.0,49340.0,Worcester MA-CT,64.2,65.5,64.9,63.4,62.7,65.9,64.4,64.1,65.8,61.9,63.3,62.5,64.47999999999999,63.9,1847.0767999999998,1831.9349999999997,0.2363602798157311,0.25346438989519315
110781.0,7453.0,841.0,940.0,398000.0,2366.0,25,1568,128796.0,7894.0,884.0,984.0,486300.0,2783.0,49340.0,Worcester MA-CT,64.2,65.5,64.9,63.4,62.7,65.9,64.4,64.1,65.8,61.9,63.3,62.5,64.47999999999999,63.9,1859.4847999999997,2133.5609999999997,0.20142278549570775,0.19878514860709956
88125.0,13703.0,956.0,1151.0,277900.0,2052.0,25,1569,107740.0,14025.0,984.0,1165.0,315400.0,2068.0,49340.0,Worcester MA-CT,64.2,65.5,64.9,63.4,62.7,65.9,64.4,64.1,65.8,61.9,63.3,62.5,64.47999999999999,63.9,1731.9648000000002,1742.0169999999998,0.23584201531914895,0.19402454056060886
48650.0,16806.0,707.0,826.0,220400.0,1745.0,25,1570,62281.0,16973.0,772.0,927.0,233500.0,1735.0,49340.0,Worcester MA-CT,64.2,65.5,64.9,63.4,62.7,65.9,64.4,64.1,65.8,61.9,63.3,62.5,64.47999999999999,63.9,1418.5711999999999,1443.312,0.34990450976361764,0.2780903325251682
68053.0,11633.0,751.0,886.0,248600.0,1663.0,25,1571,69071.0,11723.0,792.0,945.0,263900.0,1795.0,49340.0,Worcester MA-CT,64.2,65.5,64.9,63.4,62.7,65.9,64.4,64.1,65.8,61.9,63.3,62.5,64.47999999999999,63.9,1387.0095999999999,1488.15,0.24457577476378706,0.25854265900305484
100552.0,18481.0,1233.0,1285.0,403900.0,2779.0,25,1581,112153.0,19037.0,1614.0,1663.0,458100.0,2739.0,49340.0,Worcester MA-CT,64.2,65.5,64.9,63.4,62.7,65.9,64.4,64.1,65.8,61.9,63.3,62.5,64.47999999999999,63.9,2248.3312,2350.564,0.268318625188957,0.25150257237880397
73474.0,7687.0,810.0,846.0,267600.0,1935.0,25,1583,90688.0,7693.0,959.0,1070.0,298000.0,1977.0,49340.0,Worcester MA-CT,64.2,65.5,64.9,63.4,62.7,65.9,64.4,64.1,65.8,61.9,63.3,62.5,64.47999999999999,63.9,1548.1871999999998,1649.573,0.2528547023436862,0.21827447953422724
60521.0,4705.0,835.0,994.0,216800.0,1692.0,25,1585,63182.0,4569.0,778.0,994.0,253000.0,1726.0,49340.0,Worcester MA-CT,64.2,65.5,64.9,63.4,62.7,65.9,64.4,64.1,65.8,61.9,63.3,62.5,64.47999999999999,63.9,1444.0703999999998,1461.748,0.2863278002676756,0.2776261593491817
