Household Income_2014,Population_2014,Median Contract Rent_2014,Median Gross Rent_2014,Median Home Value_2014,Median Monthly Owner Costs_2014,state,Zipcode,Household Income_2019,Population_2019,Median Contract Rent_2019,Median Gross Rent_2019,Median Home Value_2019,Median Monthly Owner Costs_2019,MA,MANAME
86118.0,27994.0,1314.0,1449.0,416500.0,2551.0,09,6851,96769.0,27118.0,1545.0,1747.0,443200,2694.0,14860.0,Bridgeport-Stamford-Norwalk CT
130500.0,3700.0,1209.0,1448.0,974600.0,4001.0,09,6853,209464.0,4023.0,1856.0,2117.0,996300,4001.0,14860.0,Bridgeport-Stamford-Norwalk CT
59556.0,28332.0,1116.0,1317.0,360200.0,2383.0,09,6854,69659.0,30855.0,1381.0,1574.0,377200,2573.0,14860.0,Bridgeport-Stamford-Norwalk CT
76164.0,7254.0,1309.0,1417.0,437000.0,2860.0,09,6855,64969.0,8540.0,1495.0,1695.0,477100,3011.0,14860.0,Bridgeport-Stamford-Norwalk CT
190208.0,7071.0,1848.0,1977.0,1000001.0,4001.0,09,6870,215850.0,7642.0,1826.0,2170.0,1448700,4001.0,14860.0,Bridgeport-Stamford-Norwalk CT
147614.0,25104.0,1389.0,1574.0,681500.0,3648.0,09,6877,164010.0,25091.0,1526.0,1777.0,653400,3622.0,14860.0,Bridgeport-Stamford-Norwalk CT
164816.0,8437.0,1797.0,1866.0,1000001.0,4001.0,09,6878,222188.0,8112.0,1970.0,2067.0,1529300,4001.0,14860.0,Bridgeport-Stamford-Norwalk CT
150469.0,27313.0,1477.0,1721.0,1000001.0,4001.0,09,6880,201528.0,28376.0,1784.0,1952.0,1137400,4001.0,14860.0,Bridgeport-Stamford-Norwalk CT
208078.0,10319.0,2001.0,2001.0,863200.0,4001.0,09,6883,222535.0,10287.0,2490.0,2724.0,868200,4001.0,14860.0,Bridgeport-Stamford-Norwalk CT
170500.0,4222.0,1890.0,2001.0,831400.0,3969.0,09,6890,196379.0,4322.0,2143.0,2234.0,852800,4001.0,14860.0,Bridgeport-Stamford-Norwalk CT
122891.0,9188.0,1315.0,1363.0,618800.0,3666.0,09,6896,132770.0,9127.0,1350.0,1490.0,578400,3411.0,14860.0,Bridgeport-Stamford-Norwalk CT
175597.0,18657.0,2001.0,2001.0,810100.0,4001.0,09,6897,193292.0,18463.0,1999.0,2335.0,793200,4001.0,14860.0,Bridgeport-Stamford-Norwalk CT
55428.0,7825.0,1186.0,1268.0,340800.0,2650.0,09,6901,76429.0,7186.0,1490.0,1743.0,323400,2383.0,14860.0,Bridgeport-Stamford-Norwalk CT
64696.0,66495.0,1443.0,1598.0,413600.0,2640.0,09,6902,76970.0,69946.0,1650.0,1804.0,431300,2749.0,14860.0,Bridgeport-Stamford-Norwalk CT
180072.0,14748.0,2001.0,2001.0,790000.0,4001.0,09,6903,201711.0,13917.0,2938.0,3375.0,744800,4001.0,14860.0,Bridgeport-Stamford-Norwalk CT
103268.0,19033.0,1574.0,1704.0,513000.0,2921.0,09,6905,126425.0,20276.0,1925.0,2043.0,565200,3221.0,14860.0,Bridgeport-Stamford-Norwalk CT
68212.0,8559.0,1416.0,1551.0,430600.0,2591.0,09,6906,101500.0,9244.0,1490.0,1751.0,460900,2880.0,14860.0,Bridgeport-Stamford-Norwalk CT
89863.0,8566.0,1309.0,1536.0,455500.0,2455.0,09,6907,86890.0,8435.0,1580.0,1632.0,473700,2732.0,14860.0,Bridgeport-Stamford-Norwalk CT
72917.0,17479.0,1115.0,1189.0,271500.0,2247.0,34,7001,69849.0,17981.0,1382.0,1494.0,263700,2043.0,35620.0,New York-Newark-Jersey City NY-NJ-PA
55224.0,64763.0,989.0,1133.0,324400.0,2679.0,34,7002,63947.0,65091.0,1128.0,1255.0,333700,2636.0,35620.0,New York-Newark-Jersey City NY-NJ-PA
71494.0,47624.0,1103.0,1202.0,320400.0,2656.0,34,7003,78034.0,49260.0,1292.0,1379.0,329900,2642.0,35620.0,New York-Newark-Jersey City NY-NJ-PA
96172.0,7417.0,1499.0,1710.0,483300.0,2984.0,34,7004,122063.0,7390.0,1844.0,1916.0,517500,3225.0,35620.0,New York-Newark-Jersey City NY-NJ-PA
98571.0,15215.0,1187.0,1296.0,435900.0,2878.0,34,7005,111946.0,14939.0,1285.0,1409.0,466700,2963.0,35620.0,New York-Newark-Jersey City NY-NJ-PA
100884.0,25250.0,1312.0,1375.0,501700.0,3203.0,34,7006,127921.0,25553.0,1467.0,1593.0,556500,3249.0,35620.0,New York-Newark-Jersey City NY-NJ-PA
64294.0,23770.0,1123.0,1289.0,249300.0,2103.0,34,7008,73347.0,23589.0,1307.0,1492.0,272200,2115.0,35620.0,New York-Newark-Jersey City NY-NJ-PA
103384.0,12499.0,1368.0,1414.0,446900.0,2979.0,34,7009,123768.0,12516.0,1500.0,1540.0,473100,3219.0,35620.0,New York-Newark-Jersey City NY-NJ-PA
56171.0,24532.0,1170.0,1281.0,391800.0,2703.0,34,7010,72633.0,25126.0,1333.0,1468.0,447900,2927.0,35620.0,New York-Newark-Jersey City NY-NJ-PA
