Zipcode,Household Income,Income per Capita,Population,Median Contract Rent,Median Gross Rent,Median Home Value,Median Monthly Owner Costs,Median Age,Year,MA,MANAME
93546,63848,31830,9346,1052,1148,398100,2179,33.7,2017,,
93550,39279,15557,75774,873,1024,183900,1411,28.9,2017,31080,Los Angeles-Long Beach-Anaheim CA
93551,87628,33704,51896,1435,1640,320900,2068,37.6,2017,31080,Los Angeles-Long Beach-Anaheim CA
93552,60612,17824,41320,1279,1500,212600,1522,29.8,2017,31080,Los Angeles-Long Beach-Anaheim CA
93553,58105,34350,1893,667,724,227400,1412,52.4,2017,31080,Los Angeles-Long Beach-Anaheim CA
93555,60000,30158,34075,725,874,170700,1380,36.5,2017,12540,Bakersfield CA
93560,55526,23647,20797,834,945,164400,1367,33.5,2017,12540,Bakersfield CA
93561,63042,26497,34271,813,946,239600,1625,41.8,2017,12540,Bakersfield CA
93562,33333,23795,1639,416,561,48700,754,38.6,2017,40140,Riverside-San Bernardino-Ontario CA
93563,83875,30861,417,965,998,267900,1438,48.9,2017,31080,Los Angeles-Long Beach-Anaheim CA
93591,44487,14708,6809,935,1101,151300,1176,32.5,2017,31080,Los Angeles-Long Beach-Anaheim CA
93601,56455,24516,1855,1105,1290,324600,1706,50.9,2017,31460,Madera CA
93602,65136,28132,4284,513,720,261300,1685,46.4,2017,23420,Fresno CA
93606,30543,10667,774,671,771,157900,947,26,2017,23420,Fresno CA
93608,34408,11567,973,686,843,125000,1024,29.9,2017,23420,Fresno CA
93609,44068,17078,5668,683,831,173600,997,33.5,2017,23420,Fresno CA
93610,41234,14714,23587,713,923,190700,1427,34.2,2017,31460,Madera CA
93611,84028,32325,48759,1255,1515,290500,1877,36.1,2017,23420,Fresno CA
93612,40687,20476,35625,824,956,172200,1404,32.4,2017,23420,Fresno CA
93614,60101,31404,11134,1063,1224,243700,1625,52.6,2017,31460,Madera CA
93615,34737,10983,6277,656,772,104300,974,25.6,2017,47300,Visalia-Porterville CA
93616,31448,14297,2726,485,606,244300,1375,27.1,2017,23420,Fresno CA
93618,41003,15662,30754,701,873,172100,1314,29,2017,47300,Visalia-Porterville CA
93619,115392,46448,34587,1558,1848,387700,2204,38.3,2017,23420,Fresno CA
93620,40738,17528,9388,712,874,159100,1175,30.5,2017,32900,Merced CA
93622,42965,16004,10298,609,689,151000,1263,27.8,2017,23420,Fresno CA
93625,53793,21800,7715,720,835,233000,1559,32,2017,23420,Fresno CA
93626,83958,37059,1995,1190,1516,303700,2147,44.1,2017,23420,Fresno CA
93630,46610,18588,20133,714,847,208900,1532,29.3,2017,23420,Fresno CA
93631,63884,28901,16206,731,845,254400,1624,34,2017,23420,Fresno CA
93635,46967,19494,40550,901,1100,230200,1505,31,2017,32900,Merced CA
93636,80179,32794,12191,1188,1483,290900,1796,44.8,2017,31460,Madera CA
93637,49937,19508,40986,866,1002,199900,1324,30.2,2017,31460,Madera CA
93638,37682,14324,50453,812,951,169200,1226,28.2,2017,31460,Madera CA
